isbn,title,year,author,pages,publisher,genres,tag,price,rating_avg,review_count,cover,link_buy,description
9786043823535,Sách PHÉP MÀU MAGIE,2009,Bác sĩ Carolyn Dean,672.0,Nhà Xuất Bản Thanh Niên,"Sách Y Học Hiện Đại, Sách Y Học","sach-y-hoc-hien-ai, sach-y-hoc",181000,5.0,8,https://salt.tikicdn.com/cache/280x280/ts/product/a4/49/6a/dfae900848a409a45f635632bab650cb.jpg,https://tiki.vn/sach-phep-mau-magie-p275587683.html?spid=275587685,"Phép màu MagieMột hướng dẫn toàn diện về một trong những khoáng chất thiết yếu nhất nhưng thường bị bỏ qua, magie, giúp bảo vệ và phòng ngừa bệnh tim mạch , đột quỵ, loãng xương, tiểu đường, trầm cảm..."
9786043167517,Sách Để Trẻ Thành Công Trong Thời Đại Số,2009,Richard Culatta,244.0,Nhà Xuất Bản Thế Giới,"Nuôi dạy con, Sách Kiến Thức","nuoi-day-con, sach-kien-thuc",107100,0.0,0,https://salt.tikicdn.com/cache/280x280/ts/product/4d/37/93/68ec2618813f0c5cbbdb18f0236c2809.jpg,https://tiki.vn/sach-de-tre-thanh-cong-trong-thoi-dai-so-p274364980.html?spid=274364981,"Để Trẻ Thành Công Trong Thời Đại SốGiới thiệu tác giảRichard Culatta là một chuyên gia giáo dục nổi tiếng thế giới, đặc biệt được biết đến với những đóng góp của ông trong lĩnh vực công nghệ giáo d..."
9786043223539,Sách Bản thảo tìm thấy tại Accra,2018,Paulo Coelho,192.0,Nhà Xuất Bản Hội Nhà Văn,"Sách văn học, Truyện Giả tưởng","sach-van-hoc, truyen-gia-tuong",76800,5.0,1,https://salt.tikicdn.com/cache/280x280/ts/product/95/8e/72/2dbc23522b14320972fd0690ed79b788.jpg,https://tiki.vn/sach-ban-thao-tim-thay-tai-accra-p273983791.html?spid=273983793,"Vào một đêm năm 1099, Jerusalem đang đứng trước cuộc vây hãm của quân Thập tự chinh, trong sự tuyệt vọng và hỗn loạn, những con người từ mọi lứa tuổi và đức tin đã quy tụ để lắng nghe lời thông thái t..."
9786043574544,Sách Chữa Lành Đứa Trẻ Tổn Thương Bên Trong,2017,Robert Jackman,404.0,Nhà Xuất Bản Dân Trí,"Sách kỹ năng sống, Sách tư duy","sach-ky-nang-song, sach-tu-duy",150400,5.0,9,https://salt.tikicdn.com/cache/280x280/ts/product/b7/a1/22/738696a7565a2f2e9319edc3fab1586e.jpg,https://tiki.vn/sach-chua-lanh-dua-tre-ton-thuong-ben-trong-p273607574.html?spid=273607576,Chữa Lành Đứa Trẻ Tổn Thương Bên Trong“Chữa lành đứa trẻ tổn thương bên trong”Vượt qua vết thương thời thơ ấu để sống cuộc đời trọn vẹnCó thể bạn từng hỏi bản thân những câu hỏi sau đây: “Sao nh...
9786043942606,Tam Quốc chí (Boxset trọn bộ 5 tập),2006,Trần Thọ,2740.0,Nhà Xuất Bản Văn Học,"Sách văn học, Tác phẩm kinh điển","sach-van-hoc, tac-pham-kinh-ien",1590000,5.0,8,https://salt.tikicdn.com/cache/280x280/ts/product/c1/2b/3b/04e28fa0acd0d4a4f33f857c19db2bc2.jpg,https://tiki.vn/tam-quoc-chi-boxset-tron-bo-5-tap-p271963405.html?spid=271963406,---GIỚI THIỆU VỀ BỘSÁCHTAM QUỐC CHÍTam Quốc Chí là một sử liệu chính thức và có căn cứ về thời đại Tam Quốc của Trung Quốc từ năm 189 đến năm 280. Đây là bộ sử được đánh giá cao nhất trong “Nhị ...
9786043391197,Tâm Lý Học - Think Psychology - Text Book,2019,Abigail Baird,119.0,Nhà Xuất Bản Công Thương,"Sách Giáo Khoa, Giáo Trình Đại Học","sach-giao-khoa, giao-trinh-ai-hoc",349200,4.7,3,https://salt.tikicdn.com/cache/280x280/ts/product/e6/e9/06/4da8417fef02aec7ed44779653a14c4f.jpg,https://tiki.vn/tam-ly-hoc-think-psychology-text-book-p271433546.html?spid=271433547,"Tâm Lý Học - Think Psychology - Text Book Tâm lý học là gì? Tâm lý học là khoa học nghiên cứu hành vi, các phản ứng và hành động công khai, các quá trình tâm thức và hoạt động nội tâm ẩn ..."
9786043633532,Sách Làm Mới Vườn Tâm,2012,Suối Thông,280.0,Nhà Xuất Bản Hội Nhà Văn,"Tôn Giáo, Sách Tôn Giáo","ton-giao, sach-ton-giao",84700,5.0,14,https://salt.tikicdn.com/cache/280x280/ts/product/df/59/ab/a3415ff90ecdb1cc4993a9fc43d62f57.jpg,https://tiki.vn/sach-lam-moi-vuon-tam-p251769247.html?spid=251769249,"LÀM MỚI VƯỜN TÂMKhám phá những ngóc ngách của tâm hồnKhi “Làm mới” trở thành nhu cầu thiết yếuỞ một ngôi làng nọ, có nhà thông thái kể một câu chuyện cười ba lần liên tiếp. Lần đầu tiên nghe câu ch..."
9786043480225,Sách Hành trình yêu,2023,Alain de Botton,341.0,Nhà Xuất Bản Thế Giới,"Truyện dài, Sách văn học","truyen-dai, sach-van-hoc",121660,5.0,4,https://salt.tikicdn.com/cache/280x280/ts/product/c9/8c/cb/9d5dccb9b93ee8641ac5b10eac6f601f.jpg,https://tiki.vn/sach-hanh-trinh-yeu-p251395973.html?spid=251395975,"Giữa lòng Edinburgh, Rabih và Kristen gặp nhau và yêu nhau, kết hôn rồi có con. Mọi bộ phim, mọi tiểu thuyết lãng mạn đều xoáy sâu vào cái thuở ban đầu mê say đó. Nhưng, như ta đã rõ, không mối quan h..."
9786043350881,Sách Tây Sơn Phụng Thần Ký,2012,Thành Châu,380.0,Nhà Xuất Bản Phụ Nữ Việt Nam,"Sách văn học, Tiểu sử","sach-van-hoc, tieu-su",100100,5.0,17,https://salt.tikicdn.com/cache/280x280/ts/product/ee/21/7e/760a12939d0c5a734aa203f303566cd4.jpg,https://tiki.vn/sach-tay-son-phung-than-ky-p219164822.html?spid=219164823,"Đàng Trong năm 1765, chúa Nguyễn Phúc Khoát mất, vương tử lớn nhất là Nguyễn Phúc Luân theo lẽ được lập làm chúa. Ấy vậy mà quyền thần Trương Phúc Loan nổi lên những dã tâm cuồng bá, một tay đổi trắng..."
9786043546714,Sách Timmy Failure: Coi Cậu Kia Kìa,2007,Stephan Pastis,287.0,NXB Trẻ,"Sách thiếu nhi, Văn học thiếu nhi","sach-thieu-nhi, van-hoc-thieu-nhi",84000,4.5,7,https://salt.tikicdn.com/cache/280x280/ts/product/d9/ed/9d/29d84d7e64b252f3c06a339402320713.jpg,https://tiki.vn/sach-timmy-failure-coi-cau-kia-kia-p202879292.html?spid=202879293,"Timmy Failure: Coi Cậu Kia KìaMời bạn gặp gỡ với “thám tử” Timmy Failure, cậu nhóc giám đốc của công ty thám tử siêu hạng nổi tiếng toàn cầu, qua bộ truyện Timmy Failure, bao gồm nhiều tập: “Lỗi lầm..."
